Set,CR Rank,MC rank,T. et al. rank,N & N rank,Question,CORRECT ANSWER,Correct,MC  (response times) – Errors,MC  (response times) – Correct,MC FOILS  (% of times selected as response) – Foil 1,MC FOILS  (% of times selected as response) – Foil 2,MC FOILS  (% of times selected as response) – Foil 3,MC FOILS  (% of times selected as response) – Difference (MC-CR)
A,324,225,NA,NA,The theme tune for 'Monty Python's Flying Circus' was written by which composer?,John Philip Sousa,.57,10442,9038,Albert Austin Harding (10.2%),Charles Benter (20.4%),Edwin Franko Goldman (12.2%),.50
A,324,274,NA,NA,What is a chord consisting of three tones of a diatonic scale called?,Triad,.45,11831,13090,Diminished fifth (24.5%),Treble (4.1%),Seventh (26.5%),.38
A,324,304,NA,NA,What was the name of the U.S. surveillance ship that was attacked by North Vietnam in the Gulf of Tonkin?,USS Maddox,.39,11006,13603,HMAS Brisbane (10.2%),USS Canberra (8.2%),USS Wichita (42.9%),.32
A,324,343,NA,NA,What do A. E. Housman's initials stand for?,Alfred Edward,.29,10528,11102,Albert Everett (24.5%),Alfred Edgar (36.7%),Anthony Eric (10.2%),.22
A,324,362,NA,NA,"In which film did Doris Day sing the Oscar winning song ""Secret Love""?",Calamity Jane,.24,14140,15345,By the Light of the Silvery Moon (14.3%),I'll See You in My Dreams (28.6%),Tea for Two (32.7%),.17
A,324,362,NA,NA,Which first lady initiated the Easter egg roll on the White House lawn?,Lucy Hayes,.24,9901,14305,Helen Taft (61.2%),Lou Hoover (10.2%),Sarah Polk (4.1%),.17
A,324,378,NA,NA,"Who is the author of ""Ozymandias""?",Percy Bysshe Shelley,.20,7770,6480,John Keats (24.5%),William Blake (26.5%),William Wordsworth (28.6%),.13
A,324,390,NA,NA,What is LL Cool J.'s real name?,James Todd Smith,.16,9717,17030,Andre Romelle Young (12.2%),Curtis James Jackson III (61.2%),Earl Simmons (10.2%),.09
A,324,416,NA,NA,Aldebaran is the brightest star in which constellation?,Taurus,.06,8298,4457,Orion (44.9%),Scorpius (10.2%),Ursa Major (38.8%),-.01
B,330,316,NA,NA,What do you call a solemn declaration made by a person who conscientiously declines taking an oath?,Affirmation,.35,18486,15057,Averment (46.9%),Declaration (10.2%),Testimonial (8.2%),.29
A,331,175,NA,NA,Who assassinated Mohandas Gandhi?,A Hindu nationalist,.71,17176,11145,A bodyguard (18.4%),A British officer (4.1%),A spy (6.1%),.66
A,339,123,NA,NA,What were the first tennis racket strings made of?,Sheep gut,.82,7530,6131,Aluminum (6.1%),Horse hair (8.2%),Plastic (4.1%),.76
A,339,202,NA,NA,Myosotis is the latin name for which type of flower?,Forget-Me-Not,.63,9926,9863,Borage (16.3%),Bugloss (6.1%),Comfrey (14.3%),.58
A,339,254,NA,NA,What is the world governing body of tennis?,International Tennis Federation,.51,25394,10725,Association of Tennis Professionals (4.1%),Federation Internationale de Tennis (20.4%),World Tennis League (24.5%),.46
A,339,282,NA,NA,"Who was the lead vocalist for 'The Dakotas' during the 1960s?""",Billy J. Kramer,.43,10463,8878,Alma Cogan (12.2%),Billy Fury (32.7%),John Lennon (12.2%),.38
A,339,304,NA,NA,Where were the 1952 Olympics held?,Helsinki,.39,7689,6991,London (22.4%),Stockholm (24.5%),Tokyo (14.3%),.34
A,339,316,NA,NA,The 1912 Summer Olympics were held in what city?,Stockholm,.35,8917,8177,Copenhagen (18.4%),Helsinki (16.3%),Oslo (30.6%),.29
A,339,327,NA,NA,"W. Somerset Maugham's 1919 novel ""The Moon and Sixpence"" is based on the life of what artist?",Paul Gauguin,.33,9876,16369,Claude Monet (34.7%),Juan Gris (4.1%),Paul Cezanne (28.6%),.27
A,339,334,NA,NA,In which city is the Encyclopedia Britannica published?,Chicago,.31,11281,5449,Boston (24.5%),London (38.8%),New York (6.1%),.25
A,339,334,NA,NA,Who discovered the law of electrolysis?,Michael Faraday,.31,9983,9219,Alessandro Volta (34.7%),James Watt (12.2%),Samuel Morse (22.4%),.25
A,339,362,NA,NA,"Which French author's novel ""Germinal"" depicts life in a mining community?",Emile Zola,.24,12232,14716,Alexandre Dumas (30.6%),Gustave Flaubert (28.6%),Victor Hugo (16.3%),.19
A,339,378,NA,NA,What was the most played song on the radio in the United States during the 20th century?,You've Lost That Lovin' Feelin',.20,13509,29352,Every Breath You Take (4.1%),Sitting on the Dock of the Bay (14.3%),Yesterday (61.2%),.15
A,339,384,NA,NA,What is Australia's highest mountain?,Mount Kosciuszko,.18,7089,5535,Mount Tate (28.6%),Mount Townsend (28.6%),Mount Twynam (24.5%),.13
A,339,406,NA,NA,Tony Drago is a snooker professional from which country?,Malta,.10,9777,19412,England (16.3%),Ireland (36.7%),Italy (36.7%),.05
A,339,406,NA,NA,Who was the first person to admit to practicing witchcraft in Salem?,Tituba,.10,10950,13396,Mary Bradbury (26.5%),Rebecca Nurse (14.3%),Sarah Good (49.0%),.05
D,347,193,208,259,"What is the last name of the artist who painted ""The Persistence of Memory""?",Dali,.65,8339,7432,de Chirico (12.2%),Duchamp (6.1%),Miro (16.3%),.61
D,347,396,279,266,"What is the last name of the author of ""The Agony and the Ecstasy""?",Stone,.14,8367,6462,Maugham (26.5%),Reed (20.4%),Shaw (38.8%),.10
B,348,416,NA,NA,What word means to deposit (something valuable) as a security for money borrowed?,Pawn,.06,8822,11496,Collateral (91.8%),Mortgage (2.0%),Pledge (0.0%),.02
A,359,193,NA,NA,Jockey Lester Piggott served 3 years in prison for what crime?,Tax evasion,.65,10640,11489,Fraud (8.2%),Identity theft (6.1%),Insider trading (20.4%),.62
A,359,202,NA,NA,What is the capital of Guinea-Bissau?,Bissau,.63,5500,7654,Antula (18.4%),Hafia (2.0%),Madina (16.3%),.60
A,359,212,NA,NA,"Who patented a burglar proof lock described as ""magic and infallible""?",Linus Yale,.61,8932,8251,"Elias Howe, Jr. (14.3%)",Henry R. Towne (16.3%),James Lovelock (8.2%),.58
A,359,225,NA,NA,What was the first graphical browser for the World Wide Web?,Mosaic,.57,13303,10448,Basic (24.5%),Firefox (10.2%),Google (8.2%),.54
A,359,282,NA,NA,What is Spike Milligan's real first name?,Terence,.43,7367,6011,Alan (4.1%),Patrick (42.9%),Robert (10.2%),.39
A,359,316,NA,NA,"Who was the famous actor who played the Swedish Chef's uncle in an episode of ""The Muppet Show""?",Danny Kaye,.35,12247,15972,Don Knotts (12.2%),Steve Martin (38.8%),Sylvester Stallone (14.3%),.31
A,359,334,NA,NA,Who became Archbishop of Canterbury in 1980?,Robert Runcie,.31,8262,10356,Frederick Coggan (30.6%),George Carey (16.3%),Rowan Williams (22.4%),.27
A,359,343,NA,NA,What opera by Giacomo Puccini was left unfinished at his death?,Turandot,.29,8935,13336,La Boheme (30.6%),Madama Butterfly (22.4%),The Girl of the Golden West (18.4%),.25
A,359,343,NA,NA,Which Cleveland mayor was the first African American mayor of a major U.S. city?,Carl Stokes,.29,10112,9391,Harold Washington (42.9%),Maynard Jackson (28.6%),Sly James (0.0%),.25
A,359,351,NA,NA,What is the largest known butterfly?,Queen Alexandra's Birdwing,.27,9561,8727,Goliath Birdwing (40.8%),Homerus Swallowtail (32.7%),Homerus Swallowtail (0.0%),.23
A,359,351,NA,NA,Who ruled Jerusalem from 1099 to 1187 CE?,European Crusaders,.27,11830,15937,Egyptians (24.5%),Seljuq Turks (16.3%),The Ottoman Empire (32.7%),.23
A,359,362,NA,NA,Name the title character of a popular rap-themed video game that was originally released on the Sony PlayStation in 1996.,PaRappa the Rapper,.24,12538,17977,Ali G (12.2%),Duke Nukem (32.7%),MC Skat Kat (30.6%),.21
A,359,372,NA,NA,What was the first rap song to hit number one on the Billboard Hot 100 chart?,Ice Ice Baby,.22,10886,11508,Bust a Move (12.2%),U Can't Touch This (53.1%),Wild Thing (12.2%),.19
A,359,384,NA,NA,Which British city was named Deva by the Romans?,Chester,.18,8691,7856,Bath (42.9%),Cambridge (30.6%),Exeter (8.2%),.15
A,359,390,NA,NA,"Who wrote the 1859 novel ""Oblomov"" whose lazy and daydreaming titular character satirizes the contemporary Russian nobility?",Ivan Goncharov,.16,14500,25349,Anton Chekhov (20.4%),Fyodor Dostoyevsky (16.3%),Leo Tolstoy (46.9%),.13
A,359,396,NA,NA,The ice-cream cone originates from what American state?),Missouri,.14,7340,11017,California (6.1%),Illinois (28.6%),New York (51.0%),.11
A,359,396,NA,NA,What does a brandophile collect?,Cigar bands,.14,10544,10216,Brandy (28.6%),Logos (46.9%),Wood (10.2%),.11
A,359,396,NA,NA,Which baseball player holds the record for most professional hits across all baseball leagues?,Ichiro Suzuki,.14,11502,19672,Babe Ruth (30.6%),Mickey Mantle (18.4%),Ty Cobb (36.7%),.11
A,359,396,NA,NA,Who received the 1951 Nobel prize in physics?,Ernest Walton,.14,8224,16722,Albert Einstein (59.2%),Brian May (6.1%),Francis Crick (20.4%),.11
A,359,400,NA,NA,What is the name for Earth on the Little Prince's planet?,Asteroid MU-330,.12,12633,10047,Asteroid MU-12 (16.3%),Earth (44.9%),Zeta Reticuli (26.5%),.09
A,359,400,NA,NA,What is the name given to the short tail of a rabbit?,Scut,.12,8151,12228,Cottonball (55.1%),Stub (20.4%),Tag (12.2%),.09
D,371,400,282,270,What is the last name of the discoverer of the vaccination for smallpox?,Jenner,.12,7493,6831,Hillman (10.2%),Lederle (14.3%),Pasteur (63.3%),.09
D,371,351,292,287,"What is the last name of the poet who wrote the line ""Into each life a little rain must fall""?",Longfellow,.27,9340,11420,Emerson (20.4%),Frost (26.5%),Thoreau (26.5%),.24
B,372,362,NA,NA,What do you call the weapon used by Indians and gauchos of South America to entangle the legs of cattle and other animals?,Bola,.24,13333,12461,Bolero (10.2%),Lariat (24.5%),Lasso (40.8%),.23
A,384,202,NA,NA,What school did Billy Bunter attend?,Greyfriars,.63,6641,10366,Dotheboys Hall (16.3%),Hailsham (10.2%),Malory Towers (10.2%),.62
A,384,254,NA,NA,Who is the patron saint of Armenia?,St. Gregory,.51,9602,8356,St. Andrew (16.3%),St. David (12.2%),St. George (20.4%),.49
A,384,268,NA,NA,What is the name for a curry made of spinach and cheese?,Palak Paneer,.47,12659,8175,Aloo Gobhi (8.2%),Papadum (18.4%),Tikka (26.5%),.45
A,384,274,NA,NA,Who was Australia's first prime minister?,Edmund Barton,.45,7043,7403,Alfred Deakin (18.4%),Andrew Fisher (18.4%),Arthur Phillip (18.4%),.43
A,384,316,NA,NA,What is caterpillar waste called?,Frass,.35,8392,12538,Clods (26.5%),Coprolites (30.6%),Guano (8.2%),.33
A,384,316,NA,NA,What is the basic unit of currency for Myanmar?,Kyat,.35,6927,9931,Dirham (16.3%),Rupee (36.7%),Tugrik (12.2%),.33
A,384,327,NA,NA,What Latin American author wrote in green ink?,Pablo Neruda,.33,13064,8621,Carlos Fuentes (22.4%),Isabel Allende (28.6%),Julio Cortazar (16.3%),.31
A,384,327,NA,NA,Who is the Hindu god associated with rain?,Indra,.33,7735,9499,Brahma (12.2%),Shiva (22.4%),Vishnu (32.7%),.31
A,384,334,NA,NA,Gwendolyn Brooks won a Pulitzer in 1950 for which book of poems?,Annie Allen,.31,12866,19680,Boy Breaking Glass (26.5%),Riot (16.3%),The Ballad of Rudolph Reed (26.5%),.29
A,384,343,NA,NA,Who invented the aerosol spray can?,Erik Rotheim,.29,8725,8402,Fritz Haber (26.5%),Percy Lavon Julian (10.2%),Wallace Carothers (34.7%),.27
A,384,343,NA,NA,"Who is the only one of Milton's contemporaries to be mentioned by name in""Paradise Lost""?",Galileo,.29,10730,9738,Francis Bacon (42.9%),Johannes Vermeer (16.3%),King Charles I (12.2%),.27
A,384,362,NA,NA,What type of Cubism incorporated pieces of newspaper?,Synthetic Cubism,.24,10251,8118,Art Deco Cubism (49.0%),Early Cubism (8.2%),Existential Cubism (18.4%),.23
A,384,362,NA,NA,"Who sang ""Amityville House On The Hill""?",Lovebug Starski,.24,10228,13798,Busy Bee Starski (8.2%),DJ Kool Herc (14.3%),Grandmaster Flash (53.1%),.23
A,384,372,NA,NA,Which German duo have sold over 85 million records?,Modern Talking,.22,10876,8932,Fair Control (10.2%),Le Click (20.4%),Milli Vanilli (46.9%),.21
A,384,384,NA,NA,In which British national daily newspaper does Rupert The Bear appear?,The Daily Express,.18,10909,18990,The Guardian (30.6%),The Sun (18.4%),The Sunday Telegraph (32.7%),.17
A,384,384,NA,NA,What is the tallest mountain in Iran?,Mount Damavand,.18,6681,9285,Mount Sabalan (42.9%),Mount Sahand (22.4%),Mount Taftan (16.3%),.17
A,384,384,NA,NA,What was the name of William Wordsworth's sister?,Dorothy,.18,6260,7672,Anne (34.7%),Ellen (10.2%),Mary (36.7%),.17
A,384,384,NA,NA,Which team won the first World Series in 1903?,Boston Americans,.18,7592,14570,Chicago Cubs (63.3%),Cleveland Naps (4.1%),New York Highlanders (14.3%),.17
A,384,390,NA,NA,What television talent show did Mary Hopkin win?,Opportunity Knocks,.16,9450,14718,American Idol (18.4%),New Faces (16.3%),Star Search (49.0%),.15
A,384,406,NA,NA,What is the name of the woman Romeo is infatuated with before he meets Juliet?,Rosaline,.10,9686,10794,Ophelia (34.7%),Rosalind (24.5%),Rosamund (30.6%),.08
A,384,406,NA,NA,Which Suffolk town was the birthplace of Benjamin Britten?,Lowestoft,.10,8356,8075,Ipswich (26.5%),Southwold (26.5%),Sudbury (36.7%),.08
A,384,416,NA,NA,What liqueur goes into making a 'Snowball' cocktail?,Advocaat,.06,9643,14139,Chambord (18.4%),Drambuie (32.7%),Sambuca (42.9%),.04
A,384,420,NA,NA,Alan McGee signed Oasis to which label in 1993?,Creation,.04,8850,45500,Atlantic (26.5%),Polygram (32.7%),Sony (36.7%),.02
D,399,372,203,286,What is the last name of the twenty-first U.S. President?,Arthur,.22,10463,12011,Cleveland (26.5%),Garfield (30.6%),Hayes (20.4%),.21
D,399,293,220,296,What is the last name of the man who supposedly killed Jesse James?,Ford,.41,11052,10344,Garrett (44.9%),Hite (2.0%),Younger (12.2%),.39
D,399,378,229,297,What is the last name of the First American author to win the Nobel Prize for Literature?,Lewis,.20,10072,13367,Faulkner (22.4%),Hemingway (49.0%),O'Neill (8.2%),.19
D,399,362,240,288,What was the name of the nuclear submarine that sunk in the Atlantic in 1963?,Thresher,.24,8111,16773,Nautilus (28.6%),Seawolf (26.5%),Triton (20.4%),.23
D,399,351,281,269,What is the name of the first movie to receive the Academy Award for Best Picture?,Wings,.27,9045,11310,Alibi (2.0%),All Quiet on the Western Front (69.4%),Sunrise (2.0%),.25
D,399,406,291,283,What is the name of a number two wood in golf?,Brassie,.10,10175,11674,Cleek (2.0%),Driver (73.5%),Iron (14.3%),.09
A,412,282,NA,NA,What is the first-person plural pronoun in Hindi?,Hum,.43,10903,9788,Main (6.1%),We (8.2%),Wir (42.9%),.43
A,412,316,NA,NA,"Who dubbed Australia ""the lucky country""?",Donald Horne,.35,11683,9300,George Johnston (34.7%),Joan Lindsay (6.1%),Thea Astley (24.5%),.35
A,412,334,NA,NA,Which Pulitzer Prize winner has won more than twice?,Robert Frost,.31,8793,12051,Barbara W. Tuchman (14.3%),Margaret Leech (6.1%),William Faulkner (49.0%),.31
A,412,343,NA,NA,"What was the first newspaper to utilize advertisements for revenue and the ""penny paper"" format?",The Sun,.29,12696,11912,The Daily Courant (18.4%),The New York Times (40.8%),The Washington Post (12.2%),.29
A,412,351,NA,NA,What is the capital of Burundi?,Bujumbura,.27,16531,8314,Kabezi (16.3%),Muramvya (38.8%),Ngozi (18.4%),.27
A,412,351,NA,NA,Which country won the first women's Olympic handball gold medal in 1976?,The Soviet Union,.27,13690,10067,Hungary (20.4%),Japan (30.6%),United States (22.4%),.27
A,412,362,NA,NA,A sufferer from Boanthropy believes he is what?,An ox,.24,11541,12730,A boat (10.2%),A celebrity (18.4%),A snake (46.9%),.24
A,412,362,NA,NA,Which animal has the widest hearing range?,Dolphin,.24,11153,10200,Bat (49.0%),Dog (22.4%),Human being (4.1%),.24
A,412,390,NA,NA,What is the name of a dried legume?,Pulse,.16,9713,7858,Nut (38.8%),Pill (2.0%),Pod (42.9%),.16
A,412,390,NA,NA,"What was the name of Grotbags' pet in the TV show ""Emu's World""?",Croc,.16,13196,6293,Brat (16.3%),Emu (42.9%),Midnight (24.5%),.16
A,412,396,NA,NA,"Who replaced Betty Boothroyd as ""Speaker of the House of Commons""?",Michael Martin,.14,11631,11910,Bernard Weatherill (38.8%),George Thomas (24.5%),John Bercow (22.4%),.14
A,412,406,NA,NA,Which mountain range runs along the south shore of the Caspian Sea?,Elburz,.10,8633,9258,Caucasus (57.1%),Talysh (8.2%),Zagros (24.5%),.10
A,412,412,NA,NA,What is the meaning of the name Himalaya in Sanskrit?,Abode of snow,.08,11022,6067,Majestic mountain (22.4%),Peak of heaven (40.8%),The high one (28.6%),.08
A,412,416,NA,NA,What was the first Arcade game ever released?,Computer Space,.06,7651,37786,Pacman (22.4%),Pong (67.3%),Speed Race (4.1%),.06
A,412,416,NA,NA,Which branch of physics is particularly useful in designing bridges?,Statics,.06,10024,11003,Mechanics (79.6%),Quantum (10.2%),Statistical (4.1%),.06
A,412,420,NA,NA,Who invented the Christmas Cracker?,Tom Smith,.04,9553,3034,Charles Plimpton (36.7%),Frank Hornby (26.5%),Ole Kirk Christiansen (32.7%),.04
A,412,421,NA,NA,What was raced in the first competitive event at the Indianapolis Motor Speedway?,Balloons,.02,10291,201,Bicycles (16.3%),Cars (71.4%),Horses (10.2%),.02
B,412,316,NA,NA,What do you call the accumulation of earth and stones carried and finally deposited by a glacier?,Moraine,.35,15983,11239,Cirque (10.2%),Esker (18.4%),Tarn (36.7%),.35
D,412,351,246,194,What is the name of the baseball player with the highest lifetime batting average in the major leagues?,Cobb,.27,11743,12323,Aaron (32.7%),DiMaggio (22.4%),Mays (18.4%),.27
D,412,406,297,298,"What is the last name of the man who wrote the poem ""It Couldn't Be Done""?",Guest,.10,7686,11249,Millay (16.3%),Stevens (20.4%),Yeats (53.1%),.10
