Set,CR Rank,T. et al. rank,N & N rank,General Knowledge Question,Correct Answer,CR (proportion of responses) – Correct,CR (proportion of responses) – DR,CR (proportion of responses) – DK,CR (proportion of responses) – CE,CR (proportion of responses) – OE,CR (response times) – Correct,CR (response times) – DR,CR (response times) – DK,CR (response times) – CE,CR (response times) – OE
A,411.5,NA,NA,"Who dubbed Australia ""the lucky country""?",Donald Horne,.00,.00,.89,.11,.00,,,5487,9685,
A,411.5,NA,NA,Which Pulitzer Prize winner has won more than twice?,Robert Frost,.00,.07,.72,.19,.02,,8027,10565,16286,5172
A,411.5,NA,NA,"What was the first newspaper to utilize advertisements for revenue and the ""penny paper"" format?",The Sun,.00,.04,.63,.33,.00,,9795,10159,20479,
A,411.5,NA,NA,What is the capital of Burundi?,Bujumbura,.00,.04,.84,.12,.00,,7754,6243,13595,
A,411.5,NA,NA,Which country won the first women's Olympic handball gold medal in 1976?,The Soviet Union,.00,.02,.63,.35,.00,,15476,5963,11039,
A,411.5,NA,NA,A sufferer from Boanthropy believes he is what?,An ox,.00,.00,.79,.21,.00,,,8956,11360,
A,411.5,NA,NA,Which animal has the widest hearing range?,Dolphin,.00,.02,.44,.54,.00,,3259,9510,19285,
A,411.5,NA,NA,What is the name of a dried legume?,Pulse,.00,.05,.30,.65,.00,,14634,9328,14940,
A,411.5,NA,NA,"What was the name of Grotbags' pet in the TV show ""Emu's World""?",Croc,.00,.00,.93,.07,.00,,,7506,9643,
A,411.5,NA,NA,"Who replaced Betty Boothroyd as ""Speaker of the House of Commons""?",Michael Martin,.00,.00,.91,.09,.00,,,6159,10743,
A,411.5,NA,NA,Which mountain range runs along the south shore of the Caspian Sea?,Elburz,.00,.05,.54,.40,.00,,6911,7238,14466,
A,411.5,NA,NA,What is the meaning of the name Himalaya in Sanskrit?,Abode of snow,.00,.00,.75,.25,.00,,,5610,12512,
A,411.5,NA,NA,What was the first Arcade game ever released?,Computer Space,.00,.02,.23,.75,.00,,4474,6649,10060,
A,411.5,NA,NA,Which branch of physics is particularly useful in designing bridges?,Statics,.00,.04,.70,.26,.00,,24094,11262,16598,
A,411.5,NA,NA,Who invented the Christmas Cracker?,Tom Smith,.00,.00,.82,.16,.02,,,5964,23231,29572
A,411.5,NA,NA,What was raced in the first competitive event at the Indianapolis Motor Speedway?,Balloons,.00,.04,.47,.49,.00,,11194,9738,16755,
B,411.5,NA,NA,What do you call the accumulation of earth and stones carried and finally deposited by a glacier?,Moraine,.00,.19,.52,.30,.00,,15502,15028,16696,
D,411.5,246,194,What is the name of the baseball player with the highest lifetime batting average in the major leagues?,Cobb,.00,.08,.24,.68,.00,,31984,9219,17631,
D,411.5,297,298,"What is the last name of the man who wrote the poem ""It Couldn't Be Done""?",Guest,.00,.06,.92,.02,.00,,8620,7164,17126,
